subj_idx,conf,response,rt,da
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.67,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.67,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,0.0,0.57,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.72,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,0.0,0.67,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.68,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.72,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.46,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.48,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.77,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.65,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.74,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.57,go
0.0,lo,0.0,0.6,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.67,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.7,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.47,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.48,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.65,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.74,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,0.0,0.61,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.71,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.69,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.57,go
0.0,lo,0.0,0.59,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.63,go
0.0,lo,0.0,0.6,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.48,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.68,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.73,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.48,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.48,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.48,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.8,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.72,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.65,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.69,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.73,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.69,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.72,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.68,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.67,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.67,go
0.0,lo,1.0,0.74,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.69,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.73,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.71,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.68,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.52,go
0.0,lo,0.0,0.58,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.65,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.67,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.59,go
0.0,lo,0.0,0.58,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.52,go
0.0,lo,0.0,0.57,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.5,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.75,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.68,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.65,go
0.0,lo,0.0,0.59,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.63,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.62,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.51,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.61,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.64,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.66,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.6,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.58,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.59,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.52,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.57,go
0.0,lo,1.0,0.53,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.55,go
0.0,lo,1.0,0.54,go
0.0,lo,1.0,0.49,go
0.0,lo,1.0,0.56,go
0.0,lo,1.0,0.56,go
